"","Item","Team 10101Edutronic","Team 10102Ecotech Team 1202","Team 10103BeSmart","Team 10104Sonix","Team 10105TechTastic","Team 10106EduConnected","Team 10107Green Connection","Team 10108Team 1208","Team 10109FirstFuture","Team 10110 MD","Team 10111GeishaTech","Team 10112IGL","Team 10113Suture to Future","Team 10114BuzzNet","Team 10115Circle","Team 10116Happy Laps","Team 10117Green Wire","Team 10118YGTech","Team 10119Terra","Team 10120GreenTech","Team 10121PBS Laptops"
"397","BIZZBOOK_AZIE_GROOTHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"398","BIZZBOOK_AZIE_VERKOOPKANTOOR_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"399","NETBOOK_EUROPA_DETAILHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"400","NETBOOK_EUROPA_GROOTHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"401","NETBOOK_EUROPA_VERKOOPKANTOOR_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"402","NETBOOK_AMERIKA_DETAILHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"403","NETBOOK_AMERIKA_GROOTHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"404","NETBOOK_AMERIKA_VERKOOPKANTOOR_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"405","NETBOOK_AZIE_DETAILHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"406","NETBOOK_AZIE_GROOTHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"407","NETBOOK_AZIE_VERKOOPKANTOOR_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"408","ECOBOOK_EUROPA_DETAILHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"409","ECOBOOK_EUROPA_GROOTHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"410","ECOBOOK_EUROPA_VERKOOPKANTOOR_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"411","ECOBOOK_AMERIKA_DETAILHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"412","ECOBOOK_AMERIKA_GROOTHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"413","ECOBOOK_AMERIKA_VERKOOPKANTOOR_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"414","ECOBOOK_AZIE_DETAILHANDEL_MARKTINFO","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"415","ECOBOOK_AZIE_GROOTHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"416","ECOBOOK_AZIE_VERKOOPKANTOOR_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
